sample_type,p_curved,p_MRW,run_id
heavy_tail_distorted,0.3473955690860748,0.0954815745353698,latest_eval
regime_apparent,0.441924899816513,0.1267376840114593,latest_eval
ambiguous_mild_curvature,0.4255068898200989,0.4168581664562225,latest_eval
linear_mono,0.0313463881611824,0.1364465057849884,latest_eval
boundary_mrw,0.3729566931724548,0.4349965751171112,latest_eval
curved_mrw,0.9637641310691832,0.9875870943069458,latest_eval
noisy_mono,0.2095822244882583,0.2927574813365936,latest_eval
noisy_mrw,0.8868415951728821,0.9458291530609132,latest_eval
heavy_tail_distorted,0.3356242775917053,0.063871368765831,latest_eval
regime_apparent,0.4460931122303009,0.1236875131726265,latest_eval
ambiguous_mild_curvature,0.45895516872406,0.4412991106510162,latest_eval
linear_mono,0.0180372782051563,0.1191984117031097,latest_eval
boundary_mrw,0.2344166189432144,0.3143350780010223,latest_eval
curved_mrw,0.860336184501648,0.9201479554176332,latest_eval
noisy_mono,0.1232260316610336,0.2307013720273971,latest_eval
noisy_mrw,0.7413387298583984,0.799781084060669,latest_eval
heavy_tail_distorted,0.3552106618881225,0.0345083475112915,latest_eval
regime_apparent,0.434727281332016,0.1105018481612205,latest_eval
ambiguous_mild_curvature,0.4710437059402466,0.4565649330615997,latest_eval
linear_mono,0.024143872782588,0.1270160526037216,latest_eval
boundary_mrw,0.2846238911151886,0.3539135456085205,latest_eval
curved_mrw,0.8864428400993347,0.9382659196853638,latest_eval
noisy_mono,0.1624892503023147,0.265062540769577,latest_eval
noisy_mrw,0.1408015936613083,0.2453567832708358,latest_eval
heavy_tail_distorted,0.3506250381469726,0.0814646854996681,latest_eval
regime_apparent,0.4330230057239532,0.1061356961727142,latest_eval
ambiguous_mild_curvature,0.4575642645359039,0.4418262541294098,latest_eval
linear_mono,0.0321243219077587,0.1387918889522552,latest_eval
boundary_mrw,0.2935810685157776,0.3586601018905639,latest_eval
curved_mrw,0.967681884765625,0.9884315729141236,latest_eval
noisy_mono,0.200395718216896,0.2896032631397247,latest_eval
noisy_mrw,0.9447510242462158,0.9819732904434204,latest_eval
heavy_tail_distorted,0.3523345589637756,0.0728383511304855,latest_eval
regime_apparent,0.4532893896102905,0.1377932876348495,latest_eval
ambiguous_mild_curvature,0.4635892212390899,0.445876270532608,latest_eval
linear_mono,0.0200599730014801,0.1224834322929382,latest_eval
boundary_mrw,0.3413503468036651,0.4061199128627777,latest_eval
curved_mrw,0.8411847352981567,0.898524820804596,latest_eval
noisy_mono,0.1127720773220062,0.2109835892915725,latest_eval
noisy_mrw,0.175170361995697,0.2633292973041534,latest_eval
heavy_tail_distorted,0.3479223847389221,0.0849932953715324,latest_eval
regime_apparent,0.4419164359569549,0.1319967210292816,latest_eval
ambiguous_mild_curvature,0.4357021450996399,0.4229363799095154,latest_eval
linear_mono,0.0194270499050617,0.122584119439125,latest_eval
boundary_mrw,0.2272646129131317,0.3078086972236633,latest_eval
curved_mrw,0.8443155884742737,0.9045270085334778,latest_eval
noisy_mono,0.1381091475486755,0.243957906961441,latest_eval
noisy_mrw,0.2254757285118103,0.2901946306228637,latest_eval
heavy_tail_distorted,0.3564832806587219,0.035744871944189,latest_eval
regime_apparent,0.4589941203594208,0.1490810066461563,latest_eval
ambiguous_mild_curvature,0.4487056732177734,0.4371660053730011,latest_eval
linear_mono,0.041622694581747,0.1506547480821609,latest_eval
boundary_mrw,0.3522298336029053,0.4132867753505707,latest_eval
curved_mrw,0.9704979658126832,0.9914278388023376,latest_eval
noisy_mono,0.1265541613101959,0.2290714085102081,latest_eval
noisy_mrw,0.2108534276485443,0.28678759932518,latest_eval
heavy_tail_distorted,0.3325264751911163,0.0312448777258396,latest_eval
regime_apparent,0.4440499544143677,0.1346073746681213,latest_eval
ambiguous_mild_curvature,0.4513131082057953,0.4384036362171173,latest_eval
linear_mono,0.0250748340040445,0.1282218694686889,latest_eval
boundary_mrw,0.2685492634773254,0.3431451916694641,latest_eval
curved_mrw,0.9637899398803712,0.9869371056556702,latest_eval
noisy_mono,0.2822358310222626,0.3301617503166199,latest_eval
noisy_mrw,0.1837407499551773,0.2699195146560669,latest_eval
heavy_tail_distorted,0.3222593963146209,0.0328004173934459,latest_eval
regime_apparent,0.4378966689109802,0.1210751980543136,latest_eval
ambiguous_mild_curvature,0.426043838262558,0.4022108018398285,latest_eval
linear_mono,0.0248422436416149,0.1279187500476837,latest_eval
boundary_mrw,0.3627881705760956,0.4109307825565338,latest_eval
curved_mrw,0.8579241037368774,0.921320378780365,latest_eval
noisy_mono,0.1290086060762405,0.2379332035779953,latest_eval
noisy_mrw,0.901720941066742,0.9575029611587524,latest_eval
heavy_tail_distorted,0.3306933343410492,0.049601137638092,latest_eval
regime_apparent,0.4234023690223694,0.1030594184994697,latest_eval
ambiguous_mild_curvature,0.432488352060318,0.4205734729766845,latest_eval
linear_mono,0.0325527600944042,0.1380117088556289,latest_eval
boundary_mrw,0.3495374619960785,0.4093466699123382,latest_eval
curved_mrw,0.8805230855941772,0.9357263445854188,latest_eval
noisy_mono,0.1961489915847778,0.2772400081157684,latest_eval
noisy_mrw,0.1938243061304092,0.2840280830860138,latest_eval
heavy_tail_distorted,0.3274416625499725,0.0368844643235206,latest_eval
regime_apparent,0.4557636976242065,0.1461038887500763,latest_eval
ambiguous_mild_curvature,0.3756141662597656,0.3467959761619568,latest_eval
linear_mono,0.0189816541969776,0.1210457533597946,latest_eval
boundary_mrw,0.2021214514970779,0.3054021000862121,latest_eval
curved_mrw,0.9649069905281068,0.9872360825538636,latest_eval
noisy_mono,0.1294901818037033,0.2391131073236465,latest_eval
noisy_mrw,0.1582784801721573,0.2549479305744171,latest_eval
heavy_tail_distorted,0.3529703915119171,0.0656950399279594,latest_eval
regime_apparent,0.4384864568710327,0.1183037012815475,latest_eval
ambiguous_mild_curvature,0.3665079176425934,0.3783651888370514,latest_eval
linear_mono,0.0195584502071142,0.1219193860888481,latest_eval
boundary_mrw,0.3476677536964416,0.4183484315872192,latest_eval
curved_mrw,0.908097505569458,0.9527915120124816,latest_eval
noisy_mono,0.1762789934873581,0.2687077224254608,latest_eval
noisy_mrw,0.9044682383537292,0.9603623747825624,latest_eval
heavy_tail_distorted,0.3444626927375793,0.0344102717936039,latest_eval
regime_apparent,0.446384847164154,0.1343989372253418,latest_eval
ambiguous_mild_curvature,0.4442125856876373,0.4290163815021515,latest_eval
linear_mono,0.028717091307044,0.133011132478714,latest_eval
boundary_mrw,0.1710925847291946,0.2890780866146087,latest_eval
curved_mrw,0.8869501948356628,0.9353602528572084,latest_eval
noisy_mono,0.1389247477054596,0.2449585050344467,latest_eval
noisy_mrw,0.3410980999469757,0.3704505860805511,latest_eval
heavy_tail_distorted,0.3522768020629883,0.1001069918274879,latest_eval
regime_apparent,0.4321742653846741,0.1182868853211402,latest_eval
ambiguous_mild_curvature,0.4937820136547088,0.4703929722309112,latest_eval
linear_mono,0.0430986359715461,0.1524568051099777,latest_eval
boundary_mrw,0.2850978374481201,0.3537148535251617,latest_eval
curved_mrw,0.8973255753517151,0.9490334391593932,latest_eval
noisy_mono,0.2263502180576324,0.2998659908771515,latest_eval
noisy_mrw,0.945440709590912,0.9813124537467957,latest_eval
heavy_tail_distorted,0.3453547656536102,0.0662951692938804,latest_eval
regime_apparent,0.4240058362483978,0.1043563038110733,latest_eval
ambiguous_mild_curvature,0.4626052975654602,0.4432342946529388,latest_eval
linear_mono,0.0172003600746393,0.117483414709568,latest_eval
boundary_mrw,0.3437826037406921,0.4070578813552856,latest_eval
curved_mrw,0.934698760509491,0.969197154045105,latest_eval
noisy_mono,0.1395534425973892,0.2361705601215362,latest_eval
noisy_mrw,0.2200697064399719,0.2971766591072082,latest_eval
heavy_tail_distorted,0.3452940881252289,0.0542288497090339,latest_eval
regime_apparent,0.4264374375343323,0.1088654622435569,latest_eval
ambiguous_mild_curvature,0.4193192720413208,0.4089004695415497,latest_eval
linear_mono,0.0344899408519268,0.1405131369829177,latest_eval
boundary_mrw,0.2189593613147735,0.3100404441356659,latest_eval
curved_mrw,0.9462884068489076,0.9766740798950196,latest_eval
noisy_mono,0.1357331722974777,0.2381667643785476,latest_eval
noisy_mrw,0.810754120349884,0.8720806837081909,latest_eval
heavy_tail_distorted,0.3430774211883545,0.0765006393194198,latest_eval
regime_apparent,0.4450167119503021,0.1183465793728828,latest_eval
ambiguous_mild_curvature,0.449619859457016,0.4356298744678497,latest_eval
linear_mono,0.0199306458234787,0.1223517730832099,latest_eval
boundary_mrw,0.3910979330539703,0.4551777839660644,latest_eval
curved_mrw,0.7737757563591003,0.8358384966850281,latest_eval
noisy_mono,0.175775945186615,0.2667174935340881,latest_eval
noisy_mrw,0.8977844715118408,0.9428941011428832,latest_eval
heavy_tail_distorted,0.3433018624782562,0.0435157567262649,latest_eval
regime_apparent,0.4650560617446899,0.1551265120506286,latest_eval
