time,omega_t,increment,path,H,lambda2,L,seed
113.0,-0.3947007954120636,0.0100955870002508,0.3244596421718597,0.6,0.12,512,2026
114.0,-0.3914600014686584,0.0094661535695195,0.3339257836341858,0.6,0.12,512,2026
115.0,-0.3857997953891754,0.0035540552344173,0.337479829788208,0.6,0.12,512,2026
116.0,-0.3791172206401825,0.0088287508115172,0.3463085889816284,0.6,0.12,512,2026
117.0,-0.3764488399028778,-0.003475887235254,0.3428327143192291,0.6,0.12,512,2026
118.0,-0.3866105377674103,0.0190243609249591,0.3618570566177368,0.6,0.12,512,2026
119.0,-0.3735803663730621,0.0164883192628622,0.3783454000949859,0.6,0.12,512,2026
120.0,-0.3750821948051452,0.0051822243258357,0.3835276067256927,0.6,0.12,512,2026
121.0,-0.3774717152118683,0.0095979506149888,0.3931255638599396,0.6,0.12,512,2026
122.0,-0.3833479285240173,-0.002970999572426,0.3901545703411102,0.6,0.12,512,2026
123.0,-0.386609822511673,-0.0009111356921494,0.3892434239387512,0.6,0.12,512,2026
124.0,-0.3817225396633148,0.0021250462159514,0.3913684785366058,0.6,0.12,512,2026
125.0,-0.3864935934543609,0.0121339270845055,0.4035024046897888,0.6,0.12,512,2026
126.0,-0.3896567821502685,0.0157397240400314,0.419242113828659,0.6,0.12,512,2026
127.0,-0.383340448141098,-0.0128567805513739,0.4063853323459625,0.6,0.12,512,2026
128.0,-0.396669328212738,-0.0212733726948499,0.3851119577884674,0.6,0.12,512,2026
129.0,-0.3994030654430389,-0.016361366957426,0.3687506020069122,0.6,0.12,512,2026
130.0,-0.3996841311454773,0.0159103088080883,0.3846608996391296,0.6,0.12,512,2026
131.0,-0.4066784381866455,0.0046468307264149,0.3893077373504638,0.6,0.12,512,2026
132.0,-0.4069123268127441,0.0115824034437537,0.4008901417255401,0.6,0.12,512,2026
133.0,-0.3974827527999878,-0.0101610962301492,0.3907290399074554,0.6,0.12,512,2026
134.0,-0.4067461192607879,0.0027815348003059,0.3935105800628662,0.6,0.12,512,2026
135.0,-0.40434530377388,0.0112194744870066,0.4047300517559051,0.6,0.12,512,2026
136.0,-0.3901386559009552,-0.0120105445384979,0.3927195072174072,0.6,0.12,512,2026
137.0,-0.3887829780578613,0.0077651850879192,0.4004847109317779,0.6,0.12,512,2026
138.0,-0.3868491649627685,0.0114331431686878,0.4119178354740143,0.6,0.12,512,2026
139.0,-0.3809004724025726,0.0018527484498918,0.4137705862522125,0.6,0.12,512,2026
140.0,-0.3917596638202667,-0.0014449149603024,0.4123256802558899,0.6,0.12,512,2026
141.0,-0.3800078332424164,-0.0167873613536357,0.395538330078125,0.6,0.12,512,2026
142.0,-0.3714801371097564,0.0042385742999613,0.3997768759727478,0.6,0.12,512,2026
143.0,-0.376158207654953,-0.0037212681490927,0.3960556089878082,0.6,0.12,512,2026
144.0,-0.3870278596878052,2.413570837234147e-05,0.3960797488689422,0.6,0.12,512,2026
145.0,-0.3915036916732788,-0.0041769887320697,0.3919027745723724,0.6,0.12,512,2026
146.0,-0.3865140974521637,0.0185244996100664,0.4104272723197937,0.6,0.12,512,2026
147.0,-0.3930870592594147,-0.0030274547170847,0.4073998034000397,0.6,0.12,512,2026
148.0,-0.3855922818183899,-0.0172608513385057,0.3901389539241791,0.6,0.12,512,2026
