t,x,dx,omega,H,lambda2,L,seed
94.0,0.3240472972393036,-0.00011256857396801934,-0.38422736525535583,0.6,0.12,512,2026
95.0,0.32132282853126526,-0.002724458696320653,-0.381661981344223,0.6,0.12,512,2026
96.0,0.32007285952568054,-0.0012499700533226132,-0.3772255480289459,0.6,0.12,512,2026
97.0,0.3323071599006653,0.01223429013043642,-0.3731682300567627,0.6,0.12,512,2026
98.0,0.3443659543991089,0.012058793567121029,-0.37554192543029785,0.6,0.12,512,2026
99.0,0.3622836768627167,0.017917722463607788,-0.3734271824359894,0.6,0.12,512,2026
100.0,0.3740730285644531,0.011789345182478428,-0.37156036496162415,0.6,0.12,512,2026
101.0,0.3628424108028412,-0.01123060192912817,-0.36599427461624146,0.6,0.12,512,2026
102.0,0.37249621748924255,0.009653806686401367,-0.35995420813560486,0.6,0.12,512,2026
103.0,0.353161096572876,-0.019335119053721428,-0.36275947093963623,0.6,0.12,512,2026
104.0,0.3370749354362488,-0.016086170449852943,-0.3733009696006775,0.6,0.12,512,2026
105.0,0.3445281386375427,0.007453191094100475,-0.372161328792572,0.6,0.12,512,2026
106.0,0.3313196897506714,-0.013208427466452122,-0.3756144344806671,0.6,0.12,512,2026
107.0,0.3339677155017853,0.002648009918630123,-0.38844090700149536,0.6,0.12,512,2026
108.0,0.3315558433532715,-0.0024118637666106224,-0.38811883330345154,0.6,0.12,512,2026
109.0,0.31103602051734924,-0.020519811660051346,-0.3893296718597412,0.6,0.12,512,2026
110.0,0.31411805748939514,0.0030820295214653015,-0.38854876160621643,0.6,0.12,512,2026
111.0,0.31750282645225525,0.0033847661688923836,-0.3937195837497711,0.6,0.12,512,2026
112.0,0.3143640458583832,-0.003138782922178507,-0.39395803213119507,0.6,0.12,512,2026
113.0,0.32445964217185974,0.010095587000250816,-0.3947007954120636,0.6,0.12,512,2026
114.0,0.3339257836341858,0.00946615356951952,-0.39146000146865845,0.6,0.12,512,2026
115.0,0.337479829788208,0.0035540552344173193,-0.3857997953891754,0.6,0.12,512,2026
116.0,0.3463085889816284,0.008828750811517239,-0.3791172206401825,0.6,0.12,512,2026
117.0,0.3428327143192291,-0.0034758872352540493,-0.3764488399028778,0.6,0.12,512,2026
118.0,0.3618570566177368,0.019024360924959183,-0.3866105377674103,0.6,0.12,512,2026
119.0,0.37834540009498596,0.016488319262862206,-0.37358036637306213,0.6,0.12,512,2026
120.0,0.38352760672569275,0.005182224325835705,-0.37508219480514526,0.6,0.12,512,2026
121.0,0.3931255638599396,0.009597950614988804,-0.3774717152118683,0.6,0.12,512,2026
122.0,0.39015457034111023,-0.0029709995724260807,-0.38334792852401733,0.6,0.12,512,2026
123.0,0.3892434239387512,-0.0009111356921494007,-0.386609822511673,0.6,0.12,512,2026
124.0,0.39136847853660583,0.0021250462159514427,-0.3817225396633148,0.6,0.12,512,2026
125.0,0.4035024046897888,0.012133927084505558,-0.38649359345436096,0.6,0.12,512,2026
126.0,0.41924211382865906,0.015739724040031433,-0.38965678215026855,0.6,0.12,512,2026
127.0,0.4063853323459625,-0.012856780551373959,-0.383340448141098,0.6,0.12,512,2026
128.0,0.3851119577884674,-0.021273372694849968,-0.39666932821273804,0.6,0.12,512,2026
129.0,0.36875060200691223,-0.01636136695742607,-0.39940306544303894,0.6,0.12,512,2026
130.0,0.38466089963912964,0.015910308808088303,-0.3996841311454773,0.6,0.12,512,2026
131.0,0.38930773735046387,0.004646830726414919,-0.4066784381866455,0.6,0.12,512,2026
132.0,0.40089014172554016,0.01158240344375372,-0.40691232681274414,0.6,0.12,512,2026
133.0,0.39072903990745544,-0.010161096230149269,-0.3974827527999878,0.6,0.12,512,2026
134.0,0.3935105800628662,0.0027815348003059626,-0.40674611926078796,0.6,0.12,512,2026
135.0,0.40473005175590515,0.011219474487006664,-0.40434530377388,0.6,0.12,512,2026
136.0,0.3927195072174072,-0.012010544538497925,-0.3901386559009552,0.6,0.12,512,2026
137.0,0.40048471093177795,0.007765185087919235,-0.38878297805786133,0.6,0.12,512,2026
138.0,0.4119178354740143,0.01143314316868782,-0.38684916496276855,0.6,0.12,512,2026
139.0,0.4137705862522125,0.0018527484498918056,-0.38090047240257263,0.6,0.12,512,2026
140.0,0.4123256802558899,-0.0014449149603024125,-0.3917596638202667,0.6,0.12,512,2026
141.0,0.395538330078125,-0.016787361353635788,-0.3800078332424164,0.6,0.12,512,2026
142.0,0.3997768759727478,0.0042385742999613285,-0.37148013710975647,0.6,0.12,512,2026
143.0,0.3960556089878082,-0.0037212681490927935,-0.376158207654953,0.6,0.12,512,2026
144.0,0.39607974886894226,2.413570837234147e-05,-0.3870278596878052,0.6,0.12,512,2026
145.0,0.39190277457237244,-0.004176988732069731,-0.3915036916732788,0.6,0.12,512,2026
146.0,0.4104272723197937,0.018524499610066414,-0.3865140974521637,0.6,0.12,512,2026
147.0,0.4073998034000397,-0.0030274547170847654,-0.3930870592594147,0.6,0.12,512,2026
148.0,0.3901389539241791,-0.017260851338505745,-0.3855922818183899,0.6,0.12,512,2026
149.0,0.38127827644348145,-0.008860689587891102,-0.38215065002441406,0.6,0.12,512,2026
150.0,0.3790282607078552,-0.002249998738989234,-0.3763831853866577,0.6,0.12,512,2026
151.0,0.38399645686149597,0.004968170076608658,-0.37815138697624207,0.6,0.12,512,2026
152.0,0.379667192697525,-0.004329238552600145,-0.37670189142227173,0.6,0.12,512,2026
153.0,0.3878423571586609,0.00817516352981329,-0.3727528154850006,0.6,0.12,512,2026
154.0,0.38614344596862793,-0.0016989217838272452,-0.36925363540649414,0.6,0.12,512,2026
155.0,0.3865331709384918,0.00038971062167547643,-0.37327831983566284,0.6,0.12,512,2026
156.0,0.410630464553833,0.02409731224179268,-0.365869402885437,0.6,0.12,512,2026
157.0,0.4158945381641388,0.005264078266918659,-0.3671046495437622,0.6,0.12,512,2026
158.0,0.4282841682434082,0.01238960586488247,-0.3624194860458374,0.6,0.12,512,2026
159.0,0.42463788390159607,-0.0036462710704654455,-0.36044639348983765,0.6,0.12,512,2026
