factor,window_id,time_index,metric,original_value,shuffled_value,gap
F-F_Momentum_Factor_daily:Mom,41,1965-07-30,f_alpha_width,0.0809253643522929,0.0865772118668957,-0.0056518475146027
F-F_Momentum_Factor_daily:Mom,41,1965-07-30,logvol_cov_slope,-0.00825303999745,-0.0231370897818781,0.014884049784428
F-F_Momentum_Factor_daily:Mom,42,1966-07-29,lambda2,0.0433621976174773,0.0520196918349657,-0.0086574942174883
F-F_Momentum_Factor_daily:Mom,42,1966-07-29,p_MRW,0.7382775126047475,0.7437153048648829,-0.0054377922601354
F-F_Momentum_Factor_daily:Mom,42,1966-07-29,f_alpha_width,0.0867243952349546,0.1040393836699316,-0.0173149884349769
F-F_Momentum_Factor_daily:Mom,42,1966-07-29,logvol_cov_slope,-0.023637990320855,-0.0207426958664647,-0.0028952944543902
F-F_Momentum_Factor_daily:Mom,43,1967-07-31,lambda2,0.0518128975006263,0.0565773308826116,-0.0047644333819853
F-F_Momentum_Factor_daily:Mom,43,1967-07-31,p_MRW,0.7477731192953899,0.7589747419850852,-0.0112016226896952
F-F_Momentum_Factor_daily:Mom,43,1967-07-31,f_alpha_width,0.1036257950012526,0.113154661765223,-0.0095288667639703
F-F_Momentum_Factor_daily:Mom,43,1967-07-31,logvol_cov_slope,0.005692036570109,0.0157904719915442,-0.0100984354214351
F-F_Momentum_Factor_daily:Mom,44,1968-08-15,lambda2,0.058436128628969,0.004226624997054,0.054209503631915
F-F_Momentum_Factor_daily:Mom,44,1968-08-15,p_MRW,0.7892707625210944,0.7084093793271883,0.0808613831939061
F-F_Momentum_Factor_daily:Mom,44,1968-08-15,f_alpha_width,0.1168722572579378,0.0084532499941075,0.1084190072638302
F-F_Momentum_Factor_daily:Mom,44,1968-08-15,logvol_cov_slope,0.053541103244852,-0.0019296869445337,0.0554707901893857
F-F_Momentum_Factor_daily:Mom,45,1969-09-11,lambda2,0.0349638160104768,0.0326139209271374,0.0023498950833393
F-F_Momentum_Factor_daily:Mom,45,1969-09-11,p_MRW,0.7559545976576315,0.7293357033901493,0.0266188942674822
F-F_Momentum_Factor_daily:Mom,45,1969-09-11,f_alpha_width,0.0699276320209539,0.0652278418542749,0.0046997901666789
F-F_Momentum_Factor_daily:Mom,45,1969-09-11,logvol_cov_slope,0.0295630475084544,-0.0375850103338814,0.0671480578423359
F-F_Momentum_Factor_daily:Mom,46,1970-09-09,lambda2,0.0533449195680585,0.0416005955650172,0.0117443240030412
F-F_Momentum_Factor_daily:Mom,46,1970-09-09,p_MRW,0.7733284123888772,0.7366683787180099,0.0366600336708672
F-F_Momentum_Factor_daily:Mom,46,1970-09-09,f_alpha_width,0.1066898391361171,0.0832011911300345,0.0234886480060826
F-F_Momentum_Factor_daily:Mom,46,1970-09-09,logvol_cov_slope,0.0359276102078102,-0.013035269788726,0.0489628799965362
F-F_Momentum_Factor_daily:Mom,47,1971-09-08,lambda2,0.0556456842385745,0.0324780757814169,0.0231676084571576
F-F_Momentum_Factor_daily:Mom,47,1971-09-08,p_MRW,0.7885312132969929,0.7418333169393193,0.0466978963576736
F-F_Momentum_Factor_daily:Mom,47,1971-09-08,f_alpha_width,0.1112913684771491,0.0649561515628336,0.0463352169143155
F-F_Momentum_Factor_daily:Mom,47,1971-09-08,logvol_cov_slope,0.0674312615314908,0.0139978565478146,0.0534334049836762
F-F_Momentum_Factor_daily:Mom,48,1972-09-05,lambda2,0.0626167921201926,0.0487104452628048,0.0139063468573877
F-F_Momentum_Factor_daily:Mom,48,1972-09-05,p_MRW,0.7887688146135332,0.778979318542435,0.0097894960710982
F-F_Momentum_Factor_daily:Mom,48,1972-09-05,f_alpha_width,0.1252335842403852,0.0974208905256091,0.027812693714776
F-F_Momentum_Factor_daily:Mom,48,1972-09-05,logvol_cov_slope,0.0507704890105919,0.0576666682720801,-0.0068961792614882
F-F_Momentum_Factor_daily:Mom,49,1973-09-07,lambda2,0.0347713951742797,0.0212361927125953,0.0135352024616843
F-F_Momentum_Factor_daily:Mom,49,1973-09-07,p_MRW,0.7493737474670732,0.7221581559500736,0.0272155915169995
F-F_Momentum_Factor_daily:Mom,49,1973-09-07,f_alpha_width,0.0695427903485597,0.0424723854251901,0.0270704049233695
F-F_Momentum_Factor_daily:Mom,49,1973-09-07,logvol_cov_slope,0.0228454259728514,-0.0272887927112854,0.0501342186841369
F-F_Momentum_Factor_daily:Mom,50,1974-09-06,lambda2,0.0530207163411853,0.0197235036860524,0.0332972126551329
F-F_Momentum_Factor_daily:Mom,50,1974-09-06,p_MRW,0.7849816499541492,0.7314736725672214,0.0535079773869278
F-F_Momentum_Factor_daily:Mom,50,1974-09-06,f_alpha_width,0.1060414326823701,0.0394470073721049,0.0665944253102651
F-F_Momentum_Factor_daily:Mom,50,1974-09-06,logvol_cov_slope,0.0633026558668715,0.0124244525403724,0.050878203326499
F-F_Momentum_Factor_daily:Mom,51,1975-09-05,lambda2,0.0412664021381173,0.0037066996548305,0.0375597024832867
F-F_Momentum_Factor_daily:Mom,51,1975-09-05,p_MRW,0.7650076656145743,0.7086989507760132,0.0563087148385611
F-F_Momentum_Factor_daily:Mom,51,1975-09-05,f_alpha_width,0.082532804276235,0.0074133993096613,0.0751194049665736
F-F_Momentum_Factor_daily:Mom,51,1975-09-05,logvol_cov_slope,0.0825328042762346,0.0038592887558303,0.0786735155204042
F-F_Momentum_Factor_daily:Mom,52,1976-09-02,lambda2,0.0213058781154323,0.0368298130269779,-0.0155239349115455
F-F_Momentum_Factor_daily:Mom,52,1976-09-02,p_MRW,0.6924004073817689,0.7533327330959158,-0.0609323257141468
F-F_Momentum_Factor_daily:Mom,52,1976-09-02,f_alpha_width,0.0426117562308644,0.0736596260539557,-0.0310478698230912
F-F_Momentum_Factor_daily:Mom,52,1976-09-02,logvol_cov_slope,0.0426117562308646,0.0242000686122154,0.0184116876186492
F-F_Momentum_Factor_daily:Mom,53,1977-09-02,lambda2,0.0346654699271888,0.015696193248541,0.0189692766786478
F-F_Momentum_Factor_daily:Mom,53,1977-09-02,p_MRW,0.7512158996689025,0.7172739749570259,0.0339419247118765
F-F_Momentum_Factor_daily:Mom,53,1977-09-02,f_alpha_width,0.0693309398543777,0.0313923864970825,0.0379385533572952
F-F_Momentum_Factor_daily:Mom,53,1977-09-02,logvol_cov_slope,0.0240444168919842,-0.0204887828343948,0.0445331997263791
F-F_Momentum_Factor_daily:Mom,54,1978-09-01,lambda2,0.0249407298807035,0.0344389447889333,-0.0094982149082298
F-F_Momentum_Factor_daily:Mom,54,1978-09-01,p_MRW,0.7352632928644731,0.7300365010949972,0.0052267917694759
F-F_Momentum_Factor_daily:Mom,54,1978-09-01,f_alpha_width,0.0498814597614071,0.0688778895778667,-0.0189964298164596
