factor,source_name,window_index,window_end,T,pred_lambda2_original,pred_lambda2_shuffled,pred_lambda2_block_shuffled,pred_lambda2_gap_shuffle,pred_lambda2_gap_block,p_MRW_original,p_MRW_shuffled,p_MRW_block_shuffled,p_MRW_gap_shuffle,p_MRW_gap_block,f_alpha_width_original,f_alpha_width_shuffled,f_alpha_width_block_shuffled,f_alpha_width_gap_shuffle,f_alpha_width_gap_block,logvol_cov_slope_original,logvol_cov_slope_shuffled,logvol_cov_slope_block_shuffled,logvol_cov_slope_gap_shuffle,logvol_cov_slope_gap_block,pred_H_original,pred_H_shuffled,pred_H_block_shuffled,pred_H_gap_shuffle,pred_H_gap_block
SMB,F-F_Research_Data_Factors_daily:SMB,12,1938-05-16,512,0.0977716899259037,0.0605956825250382,0.1045287217265184,0.0371760074008655,-0.0067570318006146,0.7843214970477341,0.7504848365261912,0.8116398589091076,0.0338366605215428,-0.0273183618613734,0.1955433798518078,0.1211913650500768,0.2090574434530366,0.0743520148017309,-0.0135140636012288,0.0116956145253702,-0.0649977961152181,0.0455933013324758,0.0766934106405884,-0.0338976868071055,0.4745094376301679,0.2903658417260499,0.440449552198381,0.184143595904118,0.0340598854317869
SMB,F-F_Research_Data_Factors_daily:SMB,13,1939-03-18,512,0.0924368158843431,0.0656516330232314,0.1107982588501698,0.0267851828611116,-0.0183614429658267,0.7999510765864686,0.7541862720420184,0.801250516884738,0.0457648045444502,-0.0012994402982694,0.1848736317686865,0.131303266046463,0.2215965177003396,0.0535703657222235,-0.036722885931653,0.0386273278910488,-0.0315191015407462,0.0243771095514816,0.0701464294317951,0.0142502183395671,0.4095641992340277,0.5013718584508824,0.4392376092012267,-0.0918076592168546,-0.0296734099671989
SMB,F-F_Research_Data_Factors_daily:SMB,14,1940-01-18,512,0.1049131420536327,0.0236757071461882,0.1190895903732441,0.0812374349074444,-0.0141764483196114,0.8229455981635337,0.7176933525185347,0.8289295103583763,0.105252245644999,-0.0059839121948425,0.2098262841072651,0.0473514142923764,0.238179180746488,0.1624748698148886,-0.0283528966392229,0.0640752843151711,-0.0193152977651555,0.0601984639204782,0.0833905820803266,0.0038768203946928,0.5048467635232463,0.5242322009605029,0.545629161842716,-0.0193854374372566,-0.0407823983194697
SMB,F-F_Research_Data_Factors_daily:SMB,15,1940-11-18,512,0.1302908670355499,0.076751436418203,0.1261939416829496,0.0535394306173469,0.0040969253526002,0.8533572961905458,0.7617245086224358,0.8537771216088538,0.09163278756811,-0.0004198254183079,0.2605817340710994,0.1535028728364058,0.2523878833658993,0.1070788612346935,0.0081938507052,0.0937780660213047,-0.0253591708988135,0.1065409851884018,0.1191372369201183,-0.0127629191670971,0.4948228025295905,0.4748954055070689,0.5350404091539884,0.0199273970225216,-0.0402176066243978
SMB,F-F_Research_Data_Factors_daily:SMB,16,1941-09-18,512,0.1209554615997897,0.0716306496861248,0.0797471317604144,0.0493248119136648,0.0412083298393753,0.824397380612379,0.7580897368398865,0.7874961477568688,0.0663076437724925,0.0369012328555101,0.2419109231995788,0.1432612993722497,0.1594942635208285,0.0986496238273291,0.0824166596787503,0.0514098045647778,-0.0142774880864318,0.0316186831117138,0.0656872926512096,0.019791121453064,0.4820206430483315,0.5041683071985279,0.5602800217565767,-0.0221476641501964,-0.0782593787082451
SMB,F-F_Research_Data_Factors_daily:SMB,17,1942-07-22,512,0.078594637081128,0.0427419148138786,0.068862304722035,0.0358527222672493,0.009732332359093,0.7837840460009305,0.7708645887349348,0.7722143628545207,0.0129194572659957,0.0115696831464098,0.1571892741622557,0.0854838296277572,0.1377246094440698,0.0717054445344984,0.0194646647181858,0.0287840399325809,0.054138984333035,0.020707244147056,-0.0253549444004541,0.0080767957855248,0.5693752277946484,0.3549693330870127,0.5481842652127213,0.2144058947076357,0.021190962581927
SMB,F-F_Research_Data_Factors_daily:SMB,18,1943-05-24,512,0.0575774838243082,0.0332985025026807,0.0799215300583201,0.0242789813216275,-0.0223440462340118,0.7714787566055499,0.7304709229713348,0.8074081705310876,0.0410078336342151,-0.0359294139255377,0.1151549676486165,0.0665970050053617,0.1598430601166406,0.0485579626432548,-0.044688092468024,0.0291708444430677,-0.001504410386356,0.0606284319262197,0.0306752548294237,-0.0314575874831519,0.6558010692329348,0.5214697057658826,0.4767280197023588,0.1343313634670522,0.179073049530576
SMB,F-F_Research_Data_Factors_daily:SMB,19,1944-03-25,512,0.0053445051980872,0.0568735661485343,0.0226183742443547,-0.051529060950447,-0.0172738690462675,0.7072604276465584,0.7768163786761891,0.7294634573133776,-0.0695559510296307,-0.0222030296668191,0.0106890103961742,0.1137471322970682,0.0452367484887098,-0.103058121900894,-0.0345477380925356,-0.0056563905213603,0.0381704996253989,0.007379804064325,-0.0438268901467593,-0.0130361945856854,0.711868629483643,0.618367357343278,0.657271035248323,0.093501272140365,0.05459759423532
SMB,F-F_Research_Data_Factors_daily:SMB,20,1945-01-29,512,0.0163938458512189,0.0184236073306289,0.0146771985156102,-0.00202976147941,0.0017166473356086,0.7185992876895388,0.7198662567553888,0.7168490402697838,-0.0012669690658499,0.001750247419755,0.0327876917024378,0.0368472146612576,0.0293543970312201,-0.0040595229588197,0.0034332946712177,-0.0221248637456954,-0.010887734506951,-0.0022812246005522,-0.0112371292387443,-0.0198436391451431,0.6065214491584356,0.5399865084051205,0.5659976450036527,0.0665349407533151,0.0405238041547829
SMB,F-F_Research_Data_Factors_daily:SMB,21,1945-12-17,512,0.0225549186691035,0.0372127069770702,0.022657459257504,-0.0146577883079666,-0.0001025405884004,0.7224461951672289,0.744585539716624,0.7226830960183773,-0.0221393445493951,-0.0002369008511484,0.0451098373382073,0.0744254139541411,0.0453149185150081,-0.0293155766159337,-0.0002050811768007,-0.012876613144631,0.0132738364109301,-0.0213680897040365,-0.0261504495555611,0.0084914765594054,0.6753527659466231,0.6792864304621532,0.6657154764043722,-0.0039336645155301,0.0096372895422508
