version,T,process_type,mean_p_scaling,mean_p_curved,mean_p_mrw,mean_p_mono,mean_boundary_mrw_score,mean_residual_norm,mean_mono_residual_norm,mean_gain
v2,256,fGn,0.9910634018125988,,0.6915164650196121,0.7036035039595195,,0.0536378067696378,0.0879084875895863,0.3730833873019686
v2,256,iid Gaussian,0.9605927573783056,,0.5141438288348061,0.8356869955148015,,0.06428362276139,0.0765918360224792,0.1522374917523328
v2,256,iid Student-t,0.5435593656840778,,0.1714909464298259,0.4861046764112654,,0.2619006289612679,0.273754663676733,0.0546053052225726
v2,512,"GARCH(1,1)",0.7743106952735356,,0.3720542434602976,0.6601322250706809,,0.1027038045493619,0.1099449934304824,0.0710046574045658
v2,512,Low-lambda2 MRW,0.9896695890596936,,0.6781477555632591,0.7404397704771587,,0.0534532817878893,0.0803552231352244,0.3152794575185648
v2,512,MRW,0.9925578497350216,,0.6883449067494699,0.7308578895671027,,0.0525718503631651,0.0794934022040771,0.3221766332052149
v2,512,Regime-switching Gaussian,0.4954201137380941,,0.1394196495280734,0.4360550040645258,,0.2695356068600501,0.2774893999365823,0.0322274229589051
v2,512,Shuffled MRW,0.9585150338354564,,0.4170706587887945,0.8769268301271257,,0.067538710044963,0.072524481231258,0.0665499595745045
v2,512,fGn,0.988016664272263,,0.6660897220884051,0.7351960852032616,,0.054391013192279,0.0821327609675271,0.3206673294826898
v2,512,iid Gaussian,0.9554272847516196,,0.4318015021937234,0.8774625392896789,,0.0681393528357148,0.0740416207616882,0.075767637442498
v2,512,iid Student-t,0.4475633931301889,,0.0897555780552682,0.4007095130426543,,0.3205482698976993,0.3300958146296796,0.0310018587721666
v2,1024,"GARCH(1,1)",0.7062072541032519,,0.3173545881041458,0.5734363938016551,,0.1249379723199776,0.1297959207690187,0.0377956580175253
v2,1024,Low-lambda2 MRW,0.9886866041592188,,0.6644828436630112,0.7352878536496844,,0.0543619051043476,0.0826747502599443,0.3270130116559033
v2,1024,MRW,0.9907698232148376,,0.677392963586109,0.7431129174573081,,0.0533897694798984,0.0781966230965086,0.3046671331394464
v2,1024,Regime-switching Gaussian,0.4298152849078178,,0.065649208679263,0.3955009143267359,,0.3296506172046065,0.3357739347432341,0.0184795147402577
v2,1024,Shuffled MRW,0.9534055867365429,,0.3757053432720048,0.8914530525604883,,0.0689928685093209,0.0718327914586379,0.0382700627777099
v2,1024,fGn,0.9920909532478878,,0.6906767874246552,0.7439973893619719,,0.0531671682283991,0.0794243211636231,0.3166346042042797
v2,1024,iid Gaussian,0.9511221636618886,,0.3650207769657884,0.8969324582389423,,0.0695308104290493,0.0717659997088568,0.0305990516325047
v2,1024,iid Student-t,0.4502887555531093,,0.0903785326296374,0.4054343430768876,,0.3176041069839682,0.3272808789319935,0.0287446098962044
v2,2048,"GARCH(1,1)",0.6877853135977473,,0.302551465641175,0.5575344887162957,,0.1237278216784553,0.1263666435011795,0.0184782827564049
v2,2048,Low-lambda2 MRW,0.994962017451014,,0.706775324685233,0.7377341325793948,,0.0514362965311322,0.0758117537147232,0.3126252196463091
v2,2048,MRW,0.9910629051072256,,0.6676775693361249,0.752909850861345,,0.0534395547916314,0.0755208472920847,0.280971889067067
v2,2048,Regime-switching Gaussian,0.4207116572984627,,0.059547898825258,0.3835866547056606,,0.3291000606758253,0.3355120204921279,0.0193362493726973
v2,2048,Shuffled MRW,0.9496825571571078,,0.3529143028316043,0.9000265974374044,,0.0700912767400344,0.0716938246041536,0.0219627357215531
v2,2048,fGn,0.9918473873819624,,0.6807701669278599,0.748681399793852,,0.0529280817579655,0.0766414675329412,0.2966596634554055
v2,2048,iid Gaussian,0.9512703312294823,,0.3519004902669361,0.8988651941929545,,0.0696737033181956,0.0711936894139008,0.0209527654379988
v2,2048,iid Student-t,0.4086020322782652,,0.0564909556525803,0.368602957753908,,0.3552906577076231,0.3659594392492657,0.02898999403156
v3,256,"GARCH(1,1)",0.9972978095213572,0.2917940869927406,0.3854116559028625,0.5291748811801275,0.3433514143029849,0.2205339256984492,0.2358408356085419,0.0566277896558555
v3,256,Low-lambda2 MRW,0.9999542593955992,0.5247344290216763,0.6640922158956528,0.6120217780272166,0.5853639920552571,0.0392013755937417,0.0560030749688545,0.283826128517588
v3,256,MRW,0.9998638153076173,0.5211590088903904,0.661005329589049,0.6178226793805758,0.5783688175181548,0.0399543103141089,0.0587162665557116,0.2984316106924476
v3,256,Regime-switching Gaussian,0.9966991523901622,0.3008171329895655,0.3786339645584424,0.443656687438488,0.3080327585339546,0.2730882808566093,0.2900315308943391,0.0590675903329004
